timestamp,algorithm,n,seed,neg_ratio,dataset_key,batch_id,run_kind,runtime_us,k,neg_count,pos_count,partition_ok,k_ok,ok,array_file
20260327_151452_508560_40fb61,Direct Scan,5000,123,0.300000,seed=123|neg_ratio=0.300000,all_20260327_151452_015463_bb85ac,all,160040,1485,1485,3515,True,True,True,
20260327_151452_539915_1304aa,Two Pointers,5000,123,0.300000,seed=123|neg_ratio=0.300000,all_20260327_151452_015463_bb85ac,all,667,1485,1485,3515,True,True,True,
20260327_151452_556154_f4050d,Transform-and-Conquer,5000,123,0.300000,seed=123|neg_ratio=0.300000,all_20260327_151452_015463_bb85ac,all,774,1485,1485,3515,True,True,True,
20260327_151452_628192_54c6aa,Divide-and-Conquer,5000,123,0.300000,seed=123|neg_ratio=0.300000,all_20260327_151452_015463_bb85ac,all,14858,1485,1485,3515,True,True,True,
20260327_151506_521385_eee146,Direct Scan,10000,123,0.300000,seed=123|neg_ratio=0.300000,all_20260327_151504_478128_b63808,all,669966,2986,2986,7014,True,True,True,
20260327_151506_537032_f6970e,Two Pointers,10000,123,0.300000,seed=123|neg_ratio=0.300000,all_20260327_151504_478128_b63808,all,1352,2986,2986,7014,True,True,True,
20260327_151506_568938_f507ea,Transform-and-Conquer,10000,123,0.300000,seed=123|neg_ratio=0.300000,all_20260327_151504_478128_b63808,all,1615,2986,2986,7014,True,True,True,
20260327_151506_687399_0bac9a,Divide-and-Conquer,10000,123,0.300000,seed=123|neg_ratio=0.300000,all_20260327_151504_478128_b63808,all,31420,2986,2986,7014,True,True,True,
20260327_151608_437448_21d1bf,Direct Scan,50000,123,0.300000,seed=123|neg_ratio=0.300000,all_20260327_151514_691703_3ab003,all,17912171,15120,15120,34880,True,True,True,
20260327_151608_500802_a84ad8,Two Pointers,50000,123,0.300000,seed=123|neg_ratio=0.300000,all_20260327_151514_691703_3ab003,all,7261,15120,15120,34880,True,True,True,
20260327_151608_560026_89e58f,Transform-and-Conquer,50000,123,0.300000,seed=123|neg_ratio=0.300000,all_20260327_151514_691703_3ab003,all,8575,15120,15120,34880,True,True,True,
20260327_151609_109889_7c9cfc,Divide-and-Conquer,50000,123,0.300000,seed=123|neg_ratio=0.300000,all_20260327_151514_691703_3ab003,all,176210,15120,15120,34880,True,True,True,
